state,city,median_income
AL,Abbeville city,25615
AL,Adamsville city,42575
AL,Alabaster city,71816
AL,Albertville city,32911
AL,Alexander City city,29874
AL,Aliceville city,21131
AL,Andalusia city,31968
AL,Anniston city,29681
AL,Arab city,40292
AL,Ashville city,40547
AL,Athens city,47542
AL,Atmore city,26775
AL,Attalla city,37191
AL,Auburn city,38342
AL,Bay Minette city,31576
AL,Bayou La Batre city,34583
AL,Bessemer city,29615
AL,Birmingham city,31061
AL,Boaz city,35974
AL,Brent city,33924
AL,Brewton city,31033
AL,Bridgeport city,28571
AL,Brighton city,22146
AL,Brundidge city,23819
AL,Calera city,62893
AL,Camden city,28375
AL,Carbon Hill city,25990
AL,Center Point city,39944
AL,Centre city,31268
AL,Centreville city,41103
AL,Chelsea city,85757
AL,Chickasaw city,30973
AL,Childersburg city,25948
AL,Citronelle city,48125
AL,Clanton city,39823
AL,Clay city,68717
AL,Clio city,19539
AL,Columbiana city,32700
AL,Cordova city,19139
AL,Creola city,51705
AL,Cullman city,38746
AL,Dadeville city,29368
AL,Daleville city,45651
AL,Daphne city,60737
AL,Decatur city,41496
AL,Demopolis city,27656
AL,Dora city,40769
AL,Dothan city,42426
AL,East Brewton city,26736
AL,Elba city,26156
AL,Enterprise city,54450
AL,Eufaula city,32845
AL,Evergreen city,18661
AL,Fairfield city,34890
AL,Fairhope city,61489
AL,Fayette city,30646
AL,Florence city,35731
AL,Foley city,40938
AL,Fort Payne city,38833
AL,Fultondale city,51587
AL,Gadsden city,29136
AL,Gardendale city,56132
AL,Geneva city,29912
AL,Glencoe city,46691
AL,Graysville city,41282
AL,Greensboro city,21797
AL,Greenville city,29741
AL,Guin city,23000
AL,Gulf Shores city,47662
AL,Guntersville city,39756
AL,Haleyville city,24291
AL,Hamilton city,33053
AL,Hanceville city,29231
AL,Hartford city,22094
AL,Hartselle city,53878
AL,Headland city,51822
AL,Heflin city,25823
AL,Helena city,84615
AL,Henagar city,30757
AL,Hokes Bluff city,46042
AL,Homewood city,61626
AL,Hoover city,77146
AL,Hueytown city,42172
AL,Huntsville city,48775
AL,Indian Springs Village city,96346
AL,Irondale city,47351
AL,Jackson city,31232
AL,Jacksonville city,38903
AL,Jasper city,39695
AL,Jemison city,38500
AL,Kimberly city,76771
AL,La Fayette city,25666
AL,Lanett city,25220
AL,Leeds city,52689
AL,Lincoln city,55605
AL,Linden city,29722
AL,Lineville city,31472
AL,Lipscomb city,26163
AL,Livingston city,14426
AL,Luverne city,29844
AL,Madison city,92960
AL,Marion city,31029
AL,Midfield city,39678
AL,Millbrook city,58330
AL,Mobile city,38776
AL,Monroeville city,30678
AL,Montevallo city,34760
AL,Montgomery city,42927
AL,Moody city,61049
AL,Moulton city,28843
AL,Mountain Brook city,126534
AL,Muscle Shoals city,48896
AL,New Hope city,44224
AL,Northport city,53650
AL,Oneonta city,36852
AL,Opelika city,40489
AL,Opp city,34695
AL,Orange Beach city,57535
AL,Oxford city,51375
AL,Ozark city,37813
AL,Pelham city,67907
AL,Pell City city,41944
AL,Phenix City city,36698
AL,Piedmont city,28884
AL,Pinson city,59909
AL,Pleasant Grove city,63302
AL,Prattville city,55297
AL,Prichard city,23785
AL,Rainbow City city,49338
AL,Rainsville city,39691
AL,Red Bay city,29076
AL,Roanoke city,34956
AL,Robertsdale city,47364
AL,Russellville city,29859
AL,Samson city,22556
AL,Saraland city,52621
AL,Satsuma city,59311
AL,Scottsboro city,38007
AL,Selma city,22414
AL,Semmes city,46596
AL,Sheffield city,34205
AL,Slocomb city,35512
AL,Smiths Station city,46354
AL,Southside city,65946
AL,Spanish Fort city,72747
AL,Springville city,73906
AL,Stevenson city,38053
AL,Sulligent city,30050
AL,Sumiton city,42321
AL,Sylacauga city,33407
AL,Talladega city,29482
AL,Tallassee city,38275
AL,Tarrant city,25653
AL,Thomasville city,36146
AL,Troy city,31707
AL,Trussville city,82108
AL,Tuscaloosa city,39351
AL,Tuscumbia city,41176
AL,Tuskegee city,26896
AL,Union Springs city,30032
AL,Valley city,39531
AL,Valley Grande city,55134
AL,Vernon city,30292
AL,Vestavia Hills city,84854
AL,Warrior city,45396
AL,Weaver city,44851
AL,Wetumpka city,46190
AL,Winfield city,40654
AL,York city,17399
AK,Adak city,78500
AK,Akhiok city,26250
AK,Akiak city,42000
AK,Akutan city,24750
AK,Alakanuk city,32917
AK,Aleknagik city,41875
AK,Allakaket city,26500
AK,Ambler city,42344
AK,Anaktuvuk Pass city,66250
AK,Anderson city,87708
AK,Angoon city,32750
AK,Aniak city,60500
AK,Anvik city,26563
AK,Atka city,50625
AK,Atqasuk city,52500
AK,Barrow city,76902
AK,Bethel city,76135
AK,Bettles city,50000
AK,Brevig Mission city,32344
AK,Buckland city,60357
AK,Chefornak city,55625
AK,Chevak city,41136
AK,Chignik city,96250
AK,Chuathbaluk city,43750
AK,Clark's Point city,25833
AK,Coffman Cove city,41786
AK,Cold Bay city,86250
AK,Cordova city,85833
AK,Craig city,63229
AK,Deering city,50000
AK,Delta Junction city,72500
AK,Dillingham city,66875
AK,Diomede city,16250
AK,Eagle city,33125
AK,Eek city,39063
AK,Egegik city,38125
AK,Ekwok city,31875
AK,Elim city,37188
AK,Emmonak city,44773
AK,Fairbanks city,55229
AK,False Pass city,55625
AK,Fort Yukon city,39583
AK,Galena city,63333
AK,Gambell city,29417
AK,Golovin city,40000
AK,Goodnews Bay city,30313
AK,Grayling city,20417
AK,Gustavus city,57639
AK,Holy Cross city,36094
AK,Homer city,55849
AK,Hoonah city,57708
AK,Hooper Bay city,35938
AK,Houston city,50438
AK,Hughes city,32500
AK,Huslia city,42000
AK,Hydaburg city,31250
AK,Kachemak city,70625
AK,Kake city,40417
AK,Kaktovik city,48125
AK,Kaltag city,28750
AK,Kasaan city,49286
AK,Kenai city,62236
AK,Ketchikan city,53111
AK,Kiana city,41250
AK,King Cove city,63667
AK,Kivalina city,52917
AK,Klawock city,38125
AK,Kobuk city,43333
AK,Kodiak city,62934
AK,Kotlik city,39583
AK,Kotzebue city,87708
AK,Koyuk city,33182
AK,Koyukuk city,17083
AK,Kupreanof city,52083
AK,Kwethluk city,44063
AK,Larsen Bay city,47917
AK,Lower Kalskag city,30536
AK,McGrath city,64792
AK,Manokotak city,36667
AK,Marshall city,36875
AK,Mekoryuk city,24750
AK,Mountain Village city,39205
AK,Napakiak city,24167
AK,Napaskiak city,30625
AK,Nenana city,43250
AK,Newhalen city,56250
AK,New Stuyahok city,42813
AK,Nightmute city,39375
AK,Nikolai city,36875
AK,Nome city,76389
AK,Nondalton city,30833
AK,Noorvik city,40833
AK,North Pole city,70536
AK,Nuiqsut city,80938
AK,Nulato city,38281
AK,Nunam Iqua city,41250
AK,Nunapitchuk city,35833
AK,Old Harbor city,33750
AK,Ouzinkie city,34464
AK,Palmer city,61797
AK,Pelican city,66667
AK,Pilot Point city,28750
AK,Pilot Station city,33125
AK,Platinum city,44063
AK,Point Hope city,57292
AK,Port Alexander city,82813
AK,Port Heiden city,59375
AK,Port Lions city,41042
AK,Quinhagak city,31719
AK,Ruby city,24688
AK,Russian Mission city,36563
AK,St. George city,53750
AK,St. Mary's city,42500
AK,St. Michael city,33125
AK,St. Paul city,57708
AK,Sand Point city,56875
AK,Savoonga city,33661
AK,Saxman city,46250
AK,Scammon Bay city,27917
AK,Selawik city,41827
AK,Seldovia city,46875
AK,Seward city,53750
AK,Shaktoolik city,38750
AK,Shishmaref city,29375
AK,Shungnak city,43125
AK,Soldotna city,65048
AK,Stebbins city,39271
AK,Tanana city,45625
AK,Teller city,24792
AK,Tenakee Springs city,54375
AK,Thorne Bay city,53393
AK,Togiak city,46250
AK,Toksook Bay city,64000
AK,Unalakleet city,68015
AK,Unalaska city,90500
AK,Upper Kalskag city,36806
AK,Valdez city,98204
AK,Wainwright city,64583
AK,Wales city,29063
AK,Wasilla city,61541
AK,White Mountain city,27083
AK,Whittier city,55893
AZ,Apache Junction city,35671
AZ,Avondale city,55100
AZ,Benson city,32010
AZ,Bisbee city,31010
