city,state,pop
Abilene,TX,121721
Akron,OH,197542
Alameda,CA,78630
Albany,GA,74843
Albany,NY,98469
Albany,OR,52175
Albuquerque,NM,559121
Alexandria,VA,153511
Alhambra,CA,85551
Aliso Viejo,CA,50195
Allen,TX,98143
Allentown,PA,120207
Alpharetta,GA,63693
Amarillo,TX,198645
Ames,IA,65060
Anaheim,CA,350742
Anchorage,AK,298695
Anderson,IN,55305
Ankeny,IA,56764
Ann Arbor,MI,117070
Antioch,CA,110542
Apple Valley,CA,72174
Apple Valley,MN,51221
Appleton,WI,74139
Arcadia,CA,58408
Arlington Heights,IL,75926
Arlington,TX,388125
Arvada,CO,115368
Asheville,NC,88512
Athens-Clarke County,GA,122604
Atlanta,GA,463878
Auburn,AL,62059
Auburn,WA,77006
Augusta-Richmond County,GA,197182
Aurora,CO,359407
Aurora,IL,200661
Austin,TX,931830
Avondale,AZ,80684
Bakersfield,CA,373640
Baldwin Park,CA,77071
Baltimore,MD,621849
Bartlett,TN,58579
Baton Rouge,LA,228590
Battle Creek,MI,51589
Bayonne,NJ,66311
Baytown,TX,76335
Beaumont,TX,118129
Beaverton,OR,96577
Bellevue,NE,55510
Bellevue,WA,139820
Bellflower,CA,78441
Bellingham,WA,85146
Bend,OR,87014
Berkeley,CA,120972
Berwyn,IL,56368
Bethlehem,PA,74892
Billings,MT,110263
Birmingham,AL,212461
Bismarck,ND,71167
Blaine,MN,62124
Bloomington,IL,78292
Bloomington,IN,84067
Bloomington,MN,86435
Blue Springs,MO,54148
Boca Raton,FL,93235
Boise City,ID,218281
Bolingbrook,IL,74306
Bonita Springs,FL,51704
Bossier City,LA,68094
Boston,MA,667137
Boulder,CO,107349
Bowie,MD,58025
Bowling Green,KY,63616
Boynton Beach,FL,73966
Bradenton,FL,54437
Brentwood,CA,58968
Bridgeport,CT,147629
Bristol,CT,60452
Brockton,MA,95314
Broken Arrow,OK,106563
Brookhaven,GA,51910
Brooklyn Park,MN,79149
Broomfield,CO,65065
Brownsville,TX,183887
Bryan,TX,82118
Buckeye,AZ,62138
Buena Park,CA,83270
Buffalo,NY,258071
Burbank,CA,105319
Burien,WA,50467
Burlington,NC,52472
Burnsville,MN,61481
Caldwell,ID,51686
Camarillo,CA,67608
Cambridge,MA,110402
Camden,NJ,76119
Canton,OH,71885
Cape Coral,FL,175229
Carlsbad,CA,113453
Carmel,IN,88713
Carrollton,TX,133168
Carson City,NV,54521
Carson,CA,93281
Cary,NC,159769
Casa Grande,AZ,51460
Casper,WY,60285
Castle Rock,CO,55591
Cathedral City,CA,53826
Cedar Park,TX,65945
Cedar Rapids,IA,130405
Centennial,CO,109741
Champaign,IL,86096
Chandler,AZ,260828
Chapel Hill,NC,59568
Charleston,SC,132609
Charlotte,NC,827097
Chattanooga,TN,176588
Chesapeake,VA,235429
Cheyenne,WY,63335
Chicago,IL,2720546
Chico,CA,90316
Chicopee,MA,56741
Chino Hills,CA,78309
Chino,CA,85595
Chula Vista,CA,265757
Cicero,IL,83886
Cincinnati,OH,298550
Citrus Heights,CA,87056
Clarksville,TN,149176
